iter	Passed	Remaining
0	13	4066
1	24	3587
2	33	3298
3	42	3158
4	77	4564
5	86	4234
6	97	4067
7	106	3879
8	115	3740
9	125	3634
10	134	3545
11	144	3470
12	179	3954
13	189	3866
14	198	3771
15	208	3707
16	219	3649
17	228	3581
18	238	3520
19	275	3855
20	286	3800
21	295	3727
22	304	3664
23	313	3610
24	323	3554
25	332	3503
26	341	3455
27	378	3678
28	387	3623
29	399	3594
30	408	3545
31	418	3501
32	427	3460
33	436	3414
34	472	3579
35	482	3535
36	490	3488
37	499	3447
38	509	3406
39	520	3380
40	529	3343
41	538	3308
42	573	3426
43	584	3403
44	595	3372
45	604	3337
46	613	3302
47	624	3276
48	636	3258
49	673	3369
50	685	3346
51	696	3322
52	705	3287
53	716	3263
54	727	3241
55	738	3217
56	776	3308
57	786	3283
58	797	3258
59	809	3238
60	818	3207
61	830	3187
62	840	3162
63	876	3233
64	886	3206
65	898	3184
66	909	3162
67	918	3132
68	929	3112
69	940	3091
70	976	3148
71	986	3124
72	996	3097
73	1007	3075
74	1016	3049
75	1028	3030
76	1037	3003
77	1073	3055
78	1083	3031
79	1094	3009
80	1103	2984
81	1115	2964
82	1127	2946
83	1137	2923
84	1173	2969
85	1184	2947
86	1193	2921
87	1205	2904
88	1216	2882
89	1227	2863
90	1240	2848
91	1272	2876
92	1282	2855
93	1293	2835
94	1304	2815
95	1315	2796
96	1326	2776
97	1336	2753
98	1374	2791
99	1386	2772
100	1397	2753
101	1408	2733
102	1419	2715
103	1429	2694
104	1469	2728
105	1479	2706
106	1490	2688
107	1499	2665
108	1509	2644
109	1522	2629
110	1533	2610
111	1568	2633
112	1580	2615
113	1591	2596
114	1603	2578
115	1615	2562
116	1626	2543
117	1638	2527
118	1672	2543
119	1685	2527
120	1694	2506
121	1703	2485
122	1717	2471
123	1726	2449
124	1734	2428
125	1774	2450
126	1784	2431
127	1795	2412
128	1804	2392
129	1816	2375
130	1828	2359
131	1837	2339
132	1871	2350
133	1884	2334
134	1895	2316
135	1904	2296
136	1916	2280
137	1925	2260
138	1935	2242
139	1971	2253
140	1986	2239
141	1997	2222
142	2006	2203
143	2016	2184
144	2029	2169
145	2070	2183
146	2080	2165
147	2090	2146
148	2100	2128
149	2110	2110
150	2120	2092
151	2130	2074
152	2168	2083
153	2179	2066
154	2191	2050
155	2200	2031
156	2210	2013
157	2220	1995
158	2231	1979
159	2266	1983
160	2275	1964
161	2284	1945
162	2292	1927
163	2303	1909
164	2312	1892
165	2322	1875
166	2331	1856
167	2373	1864
168	2383	1847
169	2392	1829
170	2406	1815
171	2415	1797
172	2424	1779
173	2436	1764
174	2473	1767
175	2482	1748
176	2492	1732
177	2504	1716
178	2514	1699
179	2524	1682
180	2535	1666
181	2571	1667
182	2582	1651
183	2593	1634
184	2601	1617
185	2612	1600
186	2621	1584
187	2630	1567
188	2666	1565
189	2677	1550
190	2687	1533
191	2697	1517
192	2707	1501
193	2717	1484
194	2727	1468
195	2764	1466
196	2773	1450
197	2784	1434
198	2794	1418
199	2805	1402
200	2818	1388
201	2828	1372
202	2865	1369
203	2875	1353
204	2884	1336
205	2896	1321
206	2906	1305
207	2916	1289
208	2927	1274
209	2967	1271
210	2979	1256
211	2989	1241
212	2999	1225
213	3009	1209
214	3019	1193
215	3031	1178
216	3066	1173
217	3082	1159
218	3097	1145
219	3113	1132
220	3130	1119
221	3169	1113
222	3185	1099
223	3196	1084
224	3208	1069
225	3219	1054
226	3232	1039
227	3268	1032
228	3281	1017
229	3294	1002
230	3303	986
231	3318	972
232	3329	957
233	3370	950
234	3384	936
235	3398	921
236	3410	906
237	3420	890
238	3429	875
239	3465	866
240	3473	850
241	3484	835
242	3495	819
243	3509	805
244	3522	790
245	3536	776
246	3570	766
247	3580	750
248	3591	735
249	3602	720
250	3616	706
251	3630	691
252	3659	679
253	3673	665
254	3683	649
255	3696	635
256	3708	620
257	3719	605
258	3728	590
259	3760	578
260	3774	563
261	3787	549
262	3797	534
263	3808	519
264	3825	505
265	3858	493
266	3870	478
267	3881	463
268	3891	448
269	3903	433
270	3913	418
271	3923	403
272	3959	391
273	3969	376
274	3977	361
275	3988	346
276	4004	332
277	4019	318
278	4035	303
279	4063	290
280	4072	275
281	4086	260
282	4095	246
283	4108	231
284	4120	216
285	4156	203
286	4169	188
287	4182	174
288	4194	159
289	4206	145
290	4218	130
291	4230	115
292	4263	101
293	4273	87
294	4284	72
295	4296	58
296	4308	43
297	4319	28
298	4356	14
299	4366	0
