category,finding,details,severity,low,high,disparity,tribal,non_tribal,n,rural,urban,wf,no_wf,group_resid,overall_resid,excess_bias,resid
County,Worst over-predicted,"{'04023': 0.03598722789721157, '48303': 0.013990427495836292, '06015': 0.01102564644400933, '06055': 0.009542241274538621, '48427': 0.007595535375214333, '48423': 0.007003017954073737, '40109': 0.005803719358043611, '48479': 0.005345653394191386, '48269': 0.005292702081351491, '48453': 0.00502354360465326}",high,,,,,,,,,,,,,,
County,Worst under-predicted,"{'48057': -0.06597300614703627, '48259': -0.009677301935832676, '48019': -0.008624007020316755, '04015': -0.008463512292626218, '48493': -0.007946114701964957, '48033': -0.00739016324545104, '48253': -0.006502496147930703, '48443': -0.004732121982783083, '48261': -0.00460291615126496, '48439': -0.004247518755219114}",high,,,,,,,,,,,,,,
SVI,SVI Overall,,high,0.0009245674699264569,-0.00039129645320537765,-0.0013158639231318344,,,,,,,,,,,
SVI,SVI Minority,,medium,0.0006928644822886911,0.0003313465997783317,-0.00036151788251035944,,,,,,,,,,,
SVI,SVI Socioeconomic,,high,0.0012199859208347934,-0.0005633373288358397,-0.001783323249670633,,,,,,,,,,,
SVI,SVI Household,,medium,0.0007151111959588952,0.00047181646154329106,-0.00024329473441560414,,,,,,,,,,,
SVI,SVI Housing/Trans,,medium,0.0005716535107027621,-0.0004023610584336154,-0.0009740145691363774,,,,,,,,,,,
Tribal,Tribal bias,,medium,,,-0.00034315493685951144,5.581278829098912e-05,0.00039896772515050054,860.0,,,,,,,,
Rural/Urban,Rural/Urban (50%),,,,,-0.0003329262527288452,,,,9.675507600494926e-05,0.0004296813287337945,,,,,,
Rural/Urban,Rural/Urban (30%),,,,,-0.0002291049048285888,,,,0.00017729493310320415,0.00040639983793179296,,,,,,
Hazard,Wildfire bias,,,,,-0.0001583710758765995,,,,,,0.00023016046196340173,0.0003885315378400012,,,,
CVI,High CVI bias,,,0.0004909254212943141,-1.6446924973835133e-06,-0.0004925701137916976,,,,,,,,,,,
Intersectional,tribal_x_highSVI_x_rural,,high,,,,,,70.0,,,,,0.0016449657021095196,0.000367873715488802,0.0012770919866207176,
Intersectional,tribal_x_highSVI_x_urban,,medium,,,,,,151.0,,,,,-0.00041249897050965736,0.000367873715488802,-0.0007803726859984593,
Intersectional,tribal_x_lowSVI_x_rural,,critical,,,,,,45.0,,,,,0.0024626391927568556,0.000367873715488802,0.0020947654772680534,
Intersectional,highSVI_x_rural,,high,,,,,,255.0,,,,,0.0014166362261549457,0.000367873715488802,0.0010487625106661437,
Intersectional,highSVI_x_urban,,medium,,,,,,2117.0,,,,,-0.0006113052585055224,0.000367873715488802,-0.0009791789739943242,
Intersectional,lowSVI_x_rural,,medium,,,,,,285.0,,,,,0.0011452149879670412,0.000367873715488802,0.0007773412724782392,
Intersectional,tribal_x_rural,,medium,,,,,,412.0,,,,,0.00046406274365425965,0.000367873715488802,9.618902816545765e-05,
Intersectional,tribal_x_highSVI,,medium,,,,,,221.0,,,,,0.00023918667240139393,0.000367873715488802,-0.00012868704308740807,
Intersectional,wf_x_highSVI_x_rural,,high,,,,,,113.0,,,,,0.0023241944149122768,0.000367873715488802,0.001956320699423475,
Intersectional,tribal_x_wf,,medium,,,,,,260.0,,,,,-0.00025485979959746725,0.000367873715488802,-0.0006227335150862693,
Intersectional,wf_x_rural,,medium,,,,,,874.0,,,,,0.0006341965998632948,0.000367873715488802,0.00026632288437449284,
Intersectional,highCVI_x_highSVI_x_rural,,medium,,,,,,180.0,,,,,0.0006426217979880694,0.000367873715488802,0.0002747480824992674,
Intersectional,highCVI_x_tribal,,medium,,,,,,257.0,,,,,-0.0003400467627864954,0.000367873715488802,-0.0007079204782752974,
Regional,Region: maricopa-az,,,,,,,,1589.0,,,,,,,,0.002685817089502633
Regional,Region: northern-ca,,,,,,,,591.0,,,,,,,,-0.0009212134927054695
Regional,Region: eastern-ok,,,,,,,,1300.0,,,,,,,,0.0009744202094467858
Regional,Region: south-central-tx,,,,,,,,6011.0,,,,,,,,-0.00024930677418189196
