,residual,excess_bias,n
tribal_x_highSVI_x_rural,0.0016449657021095196,0.0012770919866207176,70.0
tribal_x_highSVI_x_urban,-0.00041249897050965736,-0.0007803726859984593,151.0
tribal_x_lowSVI_x_rural,0.0024626391927568556,0.0020947654772680534,45.0
highSVI_x_rural,0.0014166362261549457,0.0010487625106661437,255.0
highSVI_x_urban,-0.0006113052585055224,-0.0009791789739943242,2117.0
lowSVI_x_rural,0.0011452149879670412,0.0007773412724782392,285.0
tribal_x_rural,0.00046406274365425965,9.618902816545765e-05,412.0
tribal_x_highSVI,0.00023918667240139393,-0.00012868704308740807,221.0
wf_x_highSVI_x_rural,0.0023241944149122768,0.001956320699423475,113.0
tribal_x_wf,-0.00025485979959746725,-0.0006227335150862693,260.0
wf_x_rural,0.0006341965998632948,0.00026632288437449284,874.0
highCVI_x_highSVI_x_rural,0.0006426217979880694,0.0002747480824992674,180.0
highCVI_x_tribal,-0.0003400467627864954,-0.0007079204782752974,257.0
