feature,importance
bldg_gap_abs,1673.0
bldg_gap_cu,1646.6
log_building_ratio,1285.6
bldg_road_diff,958.6
compound_risk_sq,820.4
bldg_road_product,504.2
bldg_gap_log1p,478.4
log_pop_x_bldg,476.2
pct_urban_x_bldg,427.0
cvi_x_bldg,393.2
compound_risk,259.6
log_road_ratio,236.4
svi_soc_x_bldg,211.8
rural_x_bldg,209.0
svi_min_x_bldg,206.6
building_ratio_knn20_diff,198.8
road_gap_sq,179.0
building_gap_county_dev,173.0
building_gap_knn20_diff,162.6
usfs_BuildingCount_sum,160.4
building_ratio_county_dev,143.4
building_ratio_knn10_diff,135.4
building_gap_knn5_diff,134.8
building_ratio_knn5_diff,132.0
building_gap_knn5_mean,119.2
building_gap_county_mean,108.6
building_gap_knn10_diff,108.4
svi_household,107.8
building_gap_knn20_mean,99.6
road_ratio_knn5_mean,95.0
building_gap_knn10_mean,91.4
svi_pop_knn20_mean,87.0
road_ratio_knn10_mean,85.8
rural_sq_x_bldg,85.6
tiger_road_knn20_mean,82.2
tiger_road_knn5_mean,80.4
ov_road_knn5_mean,79.8
svi_pop_knn5_mean,79.8
road_ratio_knn20_mean,73.6
svi_pop_knn10_mean,67.0
building_ratio_county_mean,65.2
ov_road_knn10_mean,63.8
svi_minority_county_mean,62.4
ov_road_knn20_mean,61.2
rural_x_svi_x_bldg,60.8
tiger_road_knn10_mean,56.8
building_gap_sq,54.6
road_ratio_county_mean,44.2
wf_flag_x_bldg,27.6
wf_x_svi_x_bldg,8.2
