feature,shap
log_building_ratio,0.067538336
bldg_gap_cu,0.06227037
bldg_gap_abs,0.022307122
bldg_gap_log1p,0.006914043
bldg_gap_sq,0.004841128
log_pop_x_bldg,0.0024548322
cvi_x_bldg,0.0019018502
cvi_base_x_bldg,0.0017568177
building_gap_sq,0.00093856547
bldg_road_diff,0.00090844586
building_gap_county_dev,0.0007434841
compound_risk_sq,0.0007123473
pct_urban_x_bldg,0.0006403046
building_gap_knn20_diff,0.00059946574
compound_risk_score,0.00058655924
building_ratio_knn20_diff,0.0004429956
building_ratio_county_dev,0.00042771935
building_gap_knn10_diff,0.0003466469
compound_risk,0.00025576787
building_gap_knn5_mean,0.00011324847
usfs_BuildingCount_sum,0.00011119942
building_gap_knn10_mean,7.6508884e-05
building_ratio_county_mean,7.439386e-05
bldg_county_loo,7.06606e-05
building_gap_knn20_mean,6.852405e-05
svi_socioeconomic_knn10_diff,6.190192e-05
svi_housing_transport,5.400693e-05
building_ratio_knn10_diff,5.3316642e-05
tiger_road_knn5_mean,5.0800616e-05
svi_housing_transport_knn5_diff,4.9940783e-05
svi_socioeconomic_knn5_diff,4.931945e-05
svi_pop_knn10_mean,4.8573376e-05
building_gap_county_mean,4.7806137e-05
svi_pop_knn20_mean,4.6575635e-05
svi_soc_x_bldg,4.5864672e-05
bldg_road_product,4.456856e-05
svi_min_x_bldg,4.1550386e-05
svi_minority_county_mean,4.1273564e-05
road_gap_sq,4.117085e-05
road_ratio_knn5_mean,3.9890117e-05
road_ratio_knn20_mean,3.5418594e-05
cvi_sq_x_bldg,3.4966444e-05
svi_household,3.4939687e-05
road_ratio_knn10_mean,3.2816555e-05
building_gap_knn5_diff,3.2338423e-05
svi_sq_x_bldg,3.1575226e-05
ov_road_knn10_mean,3.1143387e-05
rural_sq_x_bldg,3.0834606e-05
svi_x_bldg,3.0692205e-05
svi_housing_transport_knn10_diff,2.8846234e-05
