feature,importance
bldg_gap_cu,0.24863097
log_building_ratio,0.24718475
bldg_gap_log1p,0.10905139
bldg_gap_abs,0.09181919
building_gap_sq,0.082729004
building_gap_knn20_diff,0.047264237
cvi_x_bldg,0.033037264
log_pop_x_bldg,0.021277413
building_gap_county_dev,0.019293763
building_gap_knn10_diff,0.016167568
compound_risk,0.015958834
compound_risk_sq,0.0149248615
bldg_road_diff,0.009950729
building_ratio_county_dev,0.008942319
building_gap_county_mean,0.005955572
building_ratio_knn20_diff,0.0045880056
building_gap_knn5_diff,0.0033054817
building_ratio_knn10_diff,0.00287195
building_ratio_county_mean,0.0017873896
svi_min_x_bldg,0.0016516326
tiger_road_knn20_mean,0.0014768848
building_ratio_knn5_diff,0.001321793
svi_minority_county_mean,0.0010744269
pct_urban_x_bldg,0.0010465953
svi_pop_knn5_mean,0.00073615107
road_ratio_county_mean,0.0007250188
road_ratio_knn20_mean,0.000717384
ov_road_knn10_mean,0.00062469416
bldg_road_product,0.00059946236
road_gap_sq,0.0005762256
log_road_ratio,0.0005418119
tiger_road_knn5_mean,0.0004826993
svi_pop_knn20_mean,0.00042068446
building_gap_knn20_mean,0.00037777936
ov_road_knn20_mean,0.00034572612
svi_household,0.00031099265
usfs_BuildingCount_sum,0.00031095784
building_gap_knn10_mean,0.0002958327
tiger_road_knn10_mean,0.0002892748
svi_soc_x_bldg,0.00021617845
road_ratio_knn10_mean,0.00021268059
building_gap_knn5_mean,0.00020264839
svi_pop_knn10_mean,0.0001824208
rural_sq_x_bldg,0.00013161253
ov_road_knn5_mean,0.00010971342
road_ratio_knn5_mean,9.444923e-05
rural_x_bldg,9.357247e-05
hsvi_rural_x_bldg,2.1229003e-05
wf_flag_x_bldg,2.0352167e-05
rural_x_svi_x_bldg,1.9859994e-05
