feature,abs_corr,in_top60,in_top80,is_strata,selected_for_augmentation
road_gap_clip,0.7529807330422577,True,True,False,False
area_gap_clip,0.6856001534924127,True,True,False,False
bldg_gap_clip,0.6824707672201334,True,True,False,False
rural_x_bldg_clip,0.5323816891733874,True,True,False,False
poi_gap_clip,0.5180303732682844,True,True,False,False
ghcn_temp_stations_in_tract,0.28253996109154506,True,True,True,False
fod_fires,0.2771043445875753,True,True,True,False
rural_continuous,0.2754683734546849,True,True,False,False
pct_urban,0.2754683734546848,True,True,True,False
rucc_2023,0.2644765245376186,True,True,True,False
rural_indicator,0.26265373109394907,True,True,False,False
bldg_road_diff,0.26157385548217094,True,True,False,False
fod_large_fires,0.2584474460371396,True,True,True,False
mtbs_wildfire_fires,0.25838063288077684,True,True,True,False
nifc_wildfire_fires_wfigs,0.2570711474486108,True,True,True,False
mtbs_wildfire_last_year,0.2568067268121748,True,True,True,False
mtbs_wildfire_ever,0.2561655650931064,True,True,True,False
fod_natural_fires,0.25033318333254195,True,True,True,False
usfs_CFL_mean,0.24775314052053932,True,True,True,False
ghcn_stations_in_tract,0.23950452897499064,True,True,True,False
usfs_Exposure_mean,0.23747933542026872,True,True,True,False
ghcn_anchor_unreliable,0.23735257236221452,True,True,True,False
usfs_FLEP4_mean,0.23586532558169243,True,True,True,False
rucc_metro,0.2326735115152694,True,True,True,False
usgs_last_year_burned,0.22753466706702782,True,True,True,False
usgs_wildfire_ever,0.2264242434212354,True,True,True,False
usgs_first_year_burned,0.2254486315609695,True,True,True,False
tiger_road_knn5_mean,0.2247715695631762,True,True,False,False
nifc_wildfire_last_year,0.22298232739706622,True,True,True,False
nifc_wildfire_ever,0.22260075458399037,True,True,True,False
usgs_wildfire_return_interval_years,0.2218290783185923,True,True,True,False
usfs_CRPS_mean,0.21852831186538726,True,True,True,False
nifc_wildfire_fires,0.2174344359324438,True,True,True,False
carbonplan_crps_mean,0.21066126127455545,True,True,True,False
nchs_2013,0.21062074973835648,True,True,True,False
fod_human_fires,0.2065995599220973,True,True,True,False
compound_risk,0.20458775548188884,True,True,False,False
pop_urban,0.20282543708605147,True,True,True,False
usgs_wildfire_fires_per_burned_pixel,0.20278827886869213,True,True,True,False
pct_urban_x_bldg,0.19690422743505726,True,True,False,False
road_gap_abs,0.1957909509176642,True,True,False,False
pop_rural,0.19068221009904565,True,True,True,False
fod_largest_fire_acres,0.18951366823128463,True,True,True,False
tiger_road,0.18811166226523404,True,True,False,False
nifc_wildfire_fires_history,0.18574124986985469,True,True,True,False
bldg_road_product,0.18178586118987158,True,True,False,False
cvi_baseline_environment,0.18083533283244912,True,True,True,False
rural_x_risk,0.17917529865775655,True,True,False,False
source_coverage_fraction_x_bldg,0.17537140422377084,True,True,False,False
uhe_covered,0.17428725720495888,True,True,True,False
source_diversity_entropy_x_bldg,0.1719341539343576,True,True,False,False
all_19_sources_covered,0.16898974005457965,True,True,False,False
all_sources_covered,0.16898974005457965,True,True,False,False
carbonplan_bp_2011_mean,0.1671464719822879,True,True,True,False
cvi_x_bldg,0.16619068616217098,True,True,False,False
ALAND,0.16618931060281478,True,True,True,False
usfs_BP_mean,0.16469534307481537,True,True,True,False
carbonplan_bp_2011_median,0.16029953957525273,True,True,True,False
uhe_overlap_frac,0.15924883054853872,True,True,True,False
carbonplan_rps_2011_mean,0.1584987967709697,True,True,True,False
rural_x_road,0.155726553880849,False,True,False,False
carbonplan_rps_2011_median,0.1541241688612685,False,True,True,False
road_gap_knn20_diff,0.15256257386206248,False,True,False,False
usfs_BuildingCover_mean,0.15022869466912878,False,True,True,False
ruca_secondary,0.1492862833627378,False,True,True,False
ruca_primary,0.1492006536575136,False,True,True,False
ghcn_prcp_nearest_km,0.14812358185531163,False,True,True,False
usfs_BuildingCount_sum,0.14556473394500039,False,True,True,False
ov_road_knn5_mean,0.14289545725293634,False,True,False,False
ms_bldg_knn5_mean,0.14128370471045626,False,True,False,False
usfs_RPS_mean,0.14036669990449593,False,True,True,False
ghcn_temp_within_25km,0.13923264072753383,False,True,True,False
tribal_x_rural,0.13859841274760237,False,True,False,False
ghcn_any_nearest_km,0.1370626443751864,False,True,True,False
mtbs_wildfire_burned_km2,0.13516287598919585,False,True,True,False
bldg_minus_area_gap,0.13511578143547445,False,True,False,False
usfs_FLEP8_mean,0.1341497917847429,False,True,True,False
cvi_baseline_infrastructure,0.13355376420229595,False,True,True,False
road_gap_knn10_diff,0.13266685674301182,False,True,False,False
carbonplan_bp_2047_mean,0.13244460831642108,False,True,True,False
svi_x_bldg,0.12777643720818027,False,False,False,False
ov_bldg_knn5_mean,0.1275769462745577,False,False,False,False
carbonplan_buildings,0.1262351615998479,False,False,True,True
carbonplan_rps_2047_mean,0.12527896437115374,False,False,True,True
fod_acres_ignited,0.12433377561975967,False,False,True,True
bldg_county_loo_smooth,0.12334700547854573,False,False,False,False
ghcn_temp_nearest_km,0.11810433743514362,False,False,True,True
nifc_wildfire_burned_km2,0.11784261868605947,False,False,True,False
mtbs_wildfire_burned_pct_land,0.1162723293412449,False,False,True,True
usfs_BuildingDensity_mean,0.11583545735341498,False,False,True,True
tribal_legal,0.11503555691452841,False,False,True,True
cvi_climate_extreme_events,0.1133508480513462,False,False,True,True
uhe_covered_null,0.11237347677606599,False,False,False,False
cvi_baseline_health,0.11047223849942892,False,False,True,True
ghcn_any_within_25km,0.10899201319980271,False,False,True,True
usgs_wildland_fire_burned_pct_area,0.10860178023641798,False,False,True,True
road_gap_knn5_diff,0.10852248046121522,False,False,False,False
mtbs_years_since_wildfire,0.10508428175312502,False,False,True,True
tribal_legal_pct,0.1043073986936973,False,False,True,True
svi_minority,0.1029732854152989,False,False,True,True
cvi_climate,0.10166674319696965,False,False,True,True
road_gap_county_dev,0.101106266623717,False,False,False,False
fod_last_fire_year,0.09917492655117273,False,False,True,True
bldg_ms_ml_fraction,0.09893065028177679,False,False,False,False
fod_ever,0.09879520326911298,False,False,True,False
pop_total,0.09649938572578658,False,False,True,True
wf_x_bldg,0.0953920610708846,False,False,False,False
usgs_wildfire_burned_pct_area,0.09515797593806206,False,False,True,False
svi_pop,0.09382191661325336,False,False,True,False
poi_low_conf_fraction,0.0933566246788211,False,False,False,False
housing_units_knn5_mean,0.09210222685392606,False,False,False,False
tribal_any,0.09110745847340501,False,False,True,True
poi_cnt_knn20_mean,0.08943702191892171,False,False,False,False
bldg_gap_abs,0.08852439534173555,False,False,False,False
usfs_WHP_mean,0.08765016669380367,False,False,True,True
log_pop,0.08651953046618215,False,False,False,False
usgs_prescribed_burned_pct_area,0.08628292472286944,False,False,True,True
poi_cnt_knn10_mean,0.08553902795205746,False,False,False,False
usfs_PopCount_sum,0.08328086045919379,False,False,True,False
poi_cnt_knn5_mean,0.08174048425688502,False,False,False,False
poi_cnt_county_mean,0.08079805463687806,False,False,False,False
cvi_climate_socioeconomic,0.08045522990995883,False,False,True,False
fod_human_share,0.07862092677038414,False,False,True,False
pmdi_recent_percentile,0.07811968903092016,False,False,True,False
area_gap_abs,0.07674051779281654,False,False,False,False
nifc_wildfire_burned_pct_land,0.07668208902688946,False,False,True,False
cvi_overall,0.07653929148235587,False,False,True,False
housing_units,0.0756920411418384,False,False,False,False
spi03_summer_mean,0.07409431344786256,False,False,True,False
ms_bldg,0.07301872085431,False,False,False,False
tribal_pct,0.07224592794656863,False,False,True,False
pmdi_summer_mean,0.07170225044765834,False,False,True,False
ov_road,0.0708002928987598,False,False,False,False
fod_human_share_classified,0.07055258601065752,False,False,True,False
poi_mean_confidence,0.06866174809517214,False,False,False,False
rural_x_svi_x_bldg,0.06816333666647456,False,False,False,False
usfs_HUImpact_mean,0.0628715642670226,False,False,True,False
tiger_road_knn5_diff,0.061283797690761276,False,False,False,False
usfs_PopDen_mean,0.060360728746586455,False,False,True,False
ruca_pop_density,0.05854923811655537,False,False,True,False
bldg_source_diversity,0.05832311278284783,False,False,False,False
ov_bldg,0.05789254190519214,False,False,False,False
total_sources_covered,0.05779452026777805,False,False,False,False
source_coverage_fraction,0.05779452026777765,False,False,False,False
pmdi_mean,0.05762938001129401,False,False,True,False
hwd_heatindex_trend_days_per_decade,0.05676002635945237,False,False,True,False
