feature,residual_corr,type
area_gap_clip,0.5695732962356765,baseline
poi_gap_clip,0.5407820519065552,baseline
rural_x_bldg_clip,0.5012900967293561,baseline
ws_dist_x_bldg,0.47315922588947734,new_interaction
cvi_ext_x_bldg,0.40720329957547874,new_interaction
carbon_x_bldg,0.3444887329586929,new_interaction
svi_min_x_bldg,0.3011397750504819,new_interaction
source_coverage_fraction_x_bldg,0.17153278148226153,baseline
cvi_x_bldg,0.15033002602395512,baseline
burn_pct_x_bldg,0.1491987378572239,new_interaction
pct_urban_x_bldg,0.12853866974008707,baseline
road_gap_clip,0.1200884586511841,baseline
compound_risk,0.10884260168993337,baseline
bldg_road_product,0.10490123486640167,baseline
cvi_health_x_rural,0.08298218386108398,new_interaction
road_gap_abs,0.08026342815631245,baseline
rucc_2023,0.0799905560369653,baseline
usfs_Exposure_mean,0.079045751010123,baseline
nchs_2013,0.0722463975076103,baseline
rucc_metro,0.07089035689660403,baseline
carbon_x_rural,0.06509986719309929,new_interaction
carbonplan_crps_mean,0.06329265906698119,baseline
rural_continuous,0.05971141215554712,baseline
usfs_CRPS_mean,0.057961025908503924,baseline
uhe_covered,0.057391102565595056,baseline
rural_indicator,0.05657939763675363,baseline
uhe_overlap_frac,0.05283781617780969,baseline
fire_acres_x_bldg,0.05209140762345135,new_interaction
pop_urban,0.050096873097642915,baseline
pop_rural,0.04991793145383241,baseline
carb_bldg_x_rural,0.0474033446077529,new_interaction
all_sources_covered,0.04650057373072225,baseline
cvi_ext_x_rural,0.04593583634996282,new_interaction
ruca_secondary,0.04563723703117548,baseline
bldg_road_diff,0.03988510276190188,baseline
road_gap_knn20_diff,0.03657589129439354,baseline
ws_dist_x_rural,0.03544349223052424,new_interaction
usfs_BuildingCover_mean,0.03275602410286297,baseline
mtbs_wildfire_last_year,0.03150459541398609,baseline
cvi_baseline_environment,0.03134489261954593,baseline
usgs_last_year_burned,0.024208917740415992,baseline
svi_min_x_rural,0.02374041903987775,new_interaction
burn_pct_x_rural,0.022518317347249,new_interaction
fod_human_fires,0.022487640011596515,baseline
ghcn_prcp_nearest_km,0.019159857280816654,baseline
usgs_wildfire_fires_per_burned_pixel,0.018444546269603367,baseline
fod_fires,0.018427252477456964,baseline
usfs_CFL_mean,0.016170699726679304,baseline
tiger_road_knn5_mean,0.015637478770239462,baseline
rural_x_road,0.014522743192955849,baseline
carbonplan_bp_2011_mean,0.011879250117961237,baseline
ghcn_stations_in_tract,0.009615659202872998,baseline
usfs_FLEP4_mean,0.009351789452439292,baseline
usfs_BP_mean,0.008776424878341989,baseline
fod_large_fires,0.00805240545364507,baseline
carbonplan_rps_2011_mean,0.007931290938152787,baseline
mtbs_wildfire_fires,0.007237415442102929,baseline
ghcn_anchor_unreliable,0.006594519390942318,baseline
ghcn_temp_stations_in_tract,0.006149584943142065,baseline
tiger_road,0.006080375579788591,baseline
fod_natural_fires,0.005005968569362406,baseline
ALAND,0.004861807196476927,baseline
fod_largest_fire_acres,0.004569781775159507,baseline
nifc_wildfire_last_year,0.0037935473802379154,baseline
rural_x_risk,0.001838293370033308,baseline
nifc_wildfire_fires_wfigs,0.0008569467119590965,baseline
nifc_wildfire_fires,0.0008156774885575195,baseline
