feature,tribal_mean_shap,non_tribal_mean_shap,shap_difference,pct_of_total_bias,tribal_mean_abs_shap,non_tribal_mean_abs_shap
road_gap_clip,-0.0066170716,0.0009279287,-0.0075450004,85.77737,0.009762638,0.003182633
area_gap_clip,-0.00045325403,0.00014253288,-0.0005957869,6.7733636,0.003188491,0.003136652
bldg_road_diff,-0.00030320566,-9.567157e-06,-0.0002936385,3.3383083,0.0001600887,6.452995e-05
bldg_road_product,-0.0009934043,-0.00076074724,-0.00023265707,2.6450245,0.0002575332,0.00027805683
source_coverage_fraction_x_bldg,-0.0001547632,3.632803e-05,-0.00019109123,2.172472,1.2376198e-06,6.2114236e-07
poi_gap_clip,0.00020371,5.412383e-05,0.00014958618,-1.7006106,1.8670865e-07,3.6628927e-07
rural_x_bldg_clip,-9.621855e-05,-1.16778665e-05,-8.454068e-05,0.9611235,4.576297e-06,3.1460636e-06
cvi_x_bldg,-5.3933218e-06,4.428362e-05,-4.9676943e-05,0.5647657,9.109181e-07,6.8117544e-07
road_gap_abs,-0.00017573584,-0.00019847363,2.273779e-05,-0.2585007,3.6160154e-06,9.625929e-07
tiger_road,2.007369e-05,-1.5478164e-06,2.1621507e-05,-0.24580993,1.7405975e-05,5.367696e-06
rural_x_risk,-1.7630287e-05,3.4102977e-06,-2.1040585e-05,0.23920554,3.1214702e-06,1.3532234e-06
ALAND,-1.2523319e-05,1.6067771e-06,-1.4130096e-05,0.1606418,0.0,0.0
tiger_road_knn5_mean,2.1766524e-05,7.737864e-06,1.402866e-05,-0.15948859,0.00018166912,0.00017090725
pop_rural,4.976687e-06,-2.7339177e-06,7.710604e-06,-0.08766008,5.765984e-06,4.3548343e-06
pct_urban_x_bldg,9.5179585e-06,2.3692367e-06,7.148722e-06,-0.08127217,0.0,0.0
compound_risk,-2.3221346e-05,-3.0233332e-05,7.011986e-06,-0.07971765,0.0,0.0
fod_large_fires,-1.7420778e-06,-5.725603e-06,3.983525e-06,-0.045287777,0.0006070096,0.00050219503
fod_human_fires,2.7909728e-06,-1.0149486e-06,3.8059213e-06,-0.043268643,4.054102e-05,1.2014203e-05
usfs_CFL_mean,-2.3040736e-06,1.4879569e-06,-3.7920304e-06,0.043110717,0.00041535564,0.000107606684
pop_urban,2.5523798e-06,5.3856274e-06,-2.8332477e-06,0.03221054,6.071753e-06,6.2729655e-06
