feature,importance
pct_urban_x_bldg,0.3270549
bldg_road_product,0.23909755
source_coverage_fraction_x_bldg,0.11158536
bldg_minus_area_gap,0.08258731
road_gap_clip,0.06039079
bldg_gap_clip,0.058251247
area_gap_clip,0.051707428
bldg_road_diff,0.018248817
wx_fire_risk_x_road_gap,0.008766902
rural_x_risk,0.008015893
rural_x_bldg_clip,0.003979909
cvi_x_bldg,0.003627769
svi_x_bldg,0.0032054458
compound_risk,0.0030999738
pop_urban,0.0017774418
poi_cnt_county_mean,0.0016427581
wx_uv_x_bldg_area_gap,0.0014899282
road_gap_abs,0.0014170909
housing_units_knn5_mean,0.0013956393
ov_road_knn5_mean,0.0011887021
ghcn_stations_in_tract,0.0010670533
rural_continuous,0.001035133
wx_fire_risk_x_bldg_area_gap,0.0009638874
ghcn_temp_stations_in_tract,0.0009593892
usfs_BuildingCover_mean,0.0009417604
usgs_wildfire_return_interval_years,0.0007076537
tiger_road,0.00068683416
usfs_Exposure_mean,0.00065351755
spi03_summer_mean,0.00058080535
tiger_road_knn5_mean,0.00048098818
ALAND,0.00039415117
carbonplan_bp_2011_mean,0.00034592103
cvi_baseline_environment,0.0003319869
ruca_secondary,0.00030394903
nifc_wildfire_fires,0.00023281174
carbonplan_crps_mean,0.0002241844
fod_natural_fires,0.00019037128
usfs_CRPS_mean,0.00016739432
nifc_wildfire_fires_wfigs,0.00016107014
cvi_baseline_infrastructure,0.0001411059
usfs_FLEP4_mean,0.00012294238
fod_fires,0.00011370566
usfs_CFL_mean,9.6076e-05
cvi_climate,9.589598e-05
usfs_BuildingCount_sum,9.121806e-05
fod_largest_fire_acres,7.8536956e-05
pop_rural,6.1365456e-05
bldg_county_loo_smooth,4.956366e-05
ghcn_temp_within_25km,4.6872403e-05
uhe_overlap_frac,4.678342e-05
usfs_BP_mean,4.4439017e-05
fod_human_fires,3.1300144e-05
rucc_2023,2.0522497e-05
usgs_wildfire_fires_per_burned_pixel,0.0
fod_large_fires,0.0
mtbs_wildfire_last_year,0.0
uhe_covered,0.0
spi12_winter_mean,0.0
pmdi_recent_percentile,0.0
all_19_sources_covered,0.0
rural_indicator,0.0
nifc_wildfire_last_year,0.0
rucc_metro,0.0
ghcn_anchor_unreliable,0.0
mtbs_wildfire_fires,0.0
all_sources_covered,0.0
pmdi_summer_mean,0.0
usgs_last_year_burned,0.0
poi_gap_clip,0.0
pct_urban,0.0
nchs_2013,0.0
