feature,importance
pct_urban_x_bldg,0.3657658
bldg_road_product,0.22085403
source_coverage_fraction_x_bldg,0.1120478
road_gap_clip,0.094861515
bldg_gap_clip,0.0845603
area_gap_clip,0.07307611
wx_fire_risk_x_road_gap,0.012029819
svi_x_bldg,0.0066053034
bldg_road_diff,0.0044347807
cvi_x_bldg,0.0028385855
rural_continuous,0.0025664517
bldg_minus_area_gap,0.002324316
rural_x_bldg_clip,0.0021338244
ov_road_knn5_mean,0.0014513461
compound_risk,0.001443388
poi_cnt_county_mean,0.0012418749
wx_uv_x_bldg_area_gap,0.0011972125
ghcn_stations_in_tract,0.0011657075
pop_urban,0.0011236344
road_gap_abs,0.00082385686
usfs_BuildingCover_mean,0.00081817125
tiger_road,0.00078975485
housing_units_knn5_mean,0.0007412727
tiger_road_knn5_mean,0.0007217869
wx_fire_risk_x_bldg_area_gap,0.000652782
usfs_BuildingCount_sum,0.00060658454
carbonplan_bp_2011_mean,0.00027813384
cvi_climate,0.00026333367
rural_x_risk,0.0002465308
cvi_baseline_infrastructure,0.00023581937
usfs_Exposure_mean,0.00023517106
fod_human_fires,0.00022374083
carbonplan_crps_mean,0.00020373434
usfs_CRPS_mean,0.00018327229
ALAND,0.00017938792
fod_largest_fire_acres,0.00017611079
pct_urban,0.0001652899
usfs_FLEP4_mean,0.00015441365
pop_rural,0.00013242761
fod_natural_fires,0.00010503869
bldg_county_loo_smooth,9.795823e-05
ruca_secondary,5.999631e-05
usfs_BP_mean,5.5018692e-05
usfs_CFL_mean,5.0422295e-05
ghcn_temp_within_25km,4.175765e-05
fod_fires,2.9295923e-05
spi03_summer_mean,7.16032e-06
spi12_winter_mean,0.0
cvi_baseline_environment,0.0
nchs_2013,0.0
rucc_metro,0.0
poi_gap_clip,0.0
all_19_sources_covered,0.0
rural_indicator,0.0
pmdi_summer_mean,0.0
usgs_last_year_burned,0.0
usgs_wildfire_return_interval_years,0.0
mtbs_wildfire_last_year,0.0
pmdi_recent_percentile,0.0
uhe_covered,0.0
nifc_wildfire_fires_wfigs,0.0
all_sources_covered,0.0
mtbs_wildfire_fires,0.0
usgs_wildfire_fires_per_burned_pixel,0.0
fod_large_fires,0.0
uhe_overlap_frac,0.0
ghcn_anchor_unreliable,0.0
ghcn_temp_stations_in_tract,0.0
rucc_2023,0.0
nifc_wildfire_fires,0.0
nifc_wildfire_last_year,0.0
